ds,y,day,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday
2021-01-01 00:00:00,,friday,True,False,False,False,False,False,False
2021-01-02 00:00:00,581.0,saturday,False,False,True,False,False,False,False
2021-01-03 00:00:00,564.0,sunday,False,False,False,True,False,False,False
2021-01-04 00:00:00,315.0,monday,False,True,False,False,False,False,False
2021-01-05 00:00:00,309.0,tuesday,False,False,False,False,False,True,False
2021-01-06 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-07 00:00:00,310.0,thursday,False,False,False,False,True,False,False
2021-01-08 00:00:00,316.0,friday,True,False,False,False,False,False,False
2021-01-09 00:00:00,394.0,saturday,False,False,True,False,False,False,False
2021-01-10 00:00:00,473.0,sunday,False,False,False,True,False,False,False
2021-01-11 00:00:00,291.0,monday,False,True,False,False,False,False,False
2021-01-12 00:00:00,258.0,tuesday,False,False,False,False,False,True,False
2021-01-13 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-14 00:00:00,287.0,thursday,False,False,False,False,True,False,False
2021-01-15 00:00:00,322.0,friday,True,False,False,False,False,False,False
2021-01-16 00:00:00,379.0,saturday,False,False,True,False,False,False,False
2021-01-17 00:00:00,507.0,sunday,False,False,False,True,False,False,False
2021-01-18 00:00:00,285.0,monday,False,True,False,False,False,False,False
2021-01-19 00:00:00,286.0,tuesday,False,False,False,False,False,True,False
2021-01-20 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-21 00:00:00,266.0,thursday,False,False,False,False,True,False,False
2021-01-22 00:00:00,326.0,friday,True,False,False,False,False,False,False
2021-01-23 00:00:00,363.0,saturday,False,False,True,False,False,False,False
2021-01-24 00:00:00,488.0,sunday,False,False,False,True,False,False,False
2021-01-25 00:00:00,307.0,monday,False,True,False,False,False,False,False
2021-01-26 00:00:00,305.0,tuesday,False,False,False,False,False,True,False
2021-01-27 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-01-28 00:00:00,273.0,thursday,False,False,False,False,True,False,False
2021-01-29 00:00:00,311.0,friday,True,False,False,False,False,False,False
2021-01-30 00:00:00,411.0,saturday,False,False,True,False,False,False,False
2021-01-31 00:00:00,549.0,sunday,False,False,False,True,False,False,False
2021-02-01 00:00:00,239.0,monday,False,True,False,False,False,False,False
2021-02-02 00:00:00,268.0,tuesday,False,False,False,False,False,True,False
2021-02-03 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-04 00:00:00,318.0,thursday,False,False,False,False,True,False,False
2021-02-05 00:00:00,371.0,friday,True,False,False,False,False,False,False
2021-02-06 00:00:00,425.0,saturday,False,False,True,False,False,False,False
2021-02-07 00:00:00,556.0,sunday,False,False,False,True,False,False,False
2021-02-08 00:00:00,310.0,monday,False,True,False,False,False,False,False
2021-02-09 00:00:00,340.0,tuesday,False,False,False,False,False,True,False
2021-02-10 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-11 00:00:00,262.0,thursday,False,False,False,False,True,False,False
2021-02-12 00:00:00,292.0,friday,True,False,False,False,False,False,False
2021-02-13 00:00:00,419.0,saturday,False,False,True,False,False,False,False
2021-02-14 00:00:00,709.0,sunday,False,False,False,True,False,False,False
2021-02-15 00:00:00,329.0,monday,False,True,False,False,False,False,False
2021-02-16 00:00:00,322.0,tuesday,False,False,False,False,False,True,False
2021-02-17 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-18 00:00:00,291.0,thursday,False,False,False,False,True,False,False
2021-02-19 00:00:00,423.0,friday,True,False,False,False,False,False,False
2021-02-20 00:00:00,487.0,saturday,False,False,True,False,False,False,False
2021-02-21 00:00:00,852.0,sunday,False,False,False,True,False,False,False
2021-02-22 00:00:00,552.0,monday,False,True,False,False,False,False,False
2021-02-23 00:00:00,588.0,tuesday,False,False,False,False,False,True,False
2021-02-24 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-02-25 00:00:00,585.0,thursday,False,False,False,False,True,False,False
2021-02-26 00:00:00,710.0,friday,True,False,False,False,False,False,False
2021-02-27 00:00:00,903.0,saturday,False,False,True,False,False,False,False
2021-02-28 00:00:00,1283.0,sunday,False,False,False,True,False,False,False
2021-03-01 00:00:00,538.0,monday,False,True,False,False,False,False,False
2021-03-02 00:00:00,582.0,tuesday,False,False,False,False,False,True,False
2021-03-03 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-04 00:00:00,582.0,thursday,False,False,False,False,True,False,False
2021-03-05 00:00:00,612.0,friday,True,False,False,False,False,False,False
2021-03-06 00:00:00,724.0,saturday,False,False,True,False,False,False,False
2021-03-07 00:00:00,872.0,sunday,False,False,False,True,False,False,False
2021-03-08 00:00:00,391.0,monday,False,True,False,False,False,False,False
2021-03-09 00:00:00,435.0,tuesday,False,False,False,False,False,True,False
2021-03-10 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-11 00:00:00,432.0,thursday,False,False,False,False,True,False,False
2021-03-12 00:00:00,493.0,friday,True,False,False,False,False,False,False
2021-03-13 00:00:00,638.0,saturday,False,False,True,False,False,False,False
2021-03-14 00:00:00,864.0,sunday,False,False,False,True,False,False,False
2021-03-15 00:00:00,410.0,monday,False,True,False,False,False,False,False
2021-03-16 00:00:00,473.0,tuesday,False,False,False,False,False,True,False
2021-03-17 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-18 00:00:00,313.0,thursday,False,False,False,False,True,False,False
2021-03-19 00:00:00,393.0,friday,True,False,False,False,False,False,False
2021-03-20 00:00:00,624.0,saturday,False,False,True,False,False,False,False
2021-03-21 00:00:00,759.0,sunday,False,False,False,True,False,False,False
2021-03-22 00:00:00,397.0,monday,False,True,False,False,False,False,False
2021-03-23 00:00:00,346.0,tuesday,False,False,False,False,False,True,False
2021-03-24 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-03-25 00:00:00,404.0,thursday,False,False,False,False,True,False,False
2021-03-26 00:00:00,461.0,friday,True,False,False,False,False,False,False
2021-03-27 00:00:00,468.0,saturday,False,False,True,False,False,False,False
2021-03-28 00:00:00,727.0,sunday,False,False,False,True,False,False,False
2021-03-29 00:00:00,390.0,monday,False,True,False,False,False,False,False
2021-03-30 00:00:00,466.0,tuesday,False,False,False,False,False,True,False
2021-03-31 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-04-01 00:00:00,366.0,thursday,False,False,False,False,True,False,False
2021-04-02 00:00:00,519.0,friday,True,False,False,False,False,False,False
2021-04-03 00:00:00,747.0,saturday,False,False,True,False,False,False,False
2021-04-04 00:00:00,1303.0,sunday,False,False,False,True,False,False,False
2021-04-05 00:00:00,706.0,monday,False,True,False,False,False,False,False
2021-04-06 00:00:00,489.0,tuesday,False,False,False,False,False,True,False
2021-04-07 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-04-08 00:00:00,446.0,thursday,False,False,False,False,True,False,False
2021-04-09 00:00:00,404.0,friday,True,False,False,False,False,False,False
2021-04-10 00:00:00,574.0,saturday,False,False,True,False,False,False,False
2021-04-11 00:00:00,739.0,sunday,False,False,False,True,False,False,False
2021-04-12 00:00:00,486.0,monday,False,True,False,False,False,False,False
2021-04-13 00:00:00,505.0,tuesday,False,False,False,False,False,True,False
2021-04-14 00:00:00,369.0,wednesday,False,False,False,False,False,False,True
2021-04-15 00:00:00,430.0,thursday,False,False,False,False,True,False,False
2021-04-16 00:00:00,542.0,friday,True,False,False,False,False,False,False
2021-04-17 00:00:00,641.0,saturday,False,False,True,False,False,False,False
2021-04-18 00:00:00,998.0,sunday,False,False,False,True,False,False,False
2021-04-19 00:00:00,429.0,monday,False,True,False,False,False,False,False
2021-04-20 00:00:00,572.0,tuesday,False,False,False,False,False,True,False
2021-04-21 00:00:00,420.0,wednesday,False,False,False,False,False,False,True
2021-04-22 00:00:00,600.0,thursday,False,False,False,False,True,False,False
2021-04-23 00:00:00,510.0,friday,True,False,False,False,False,False,False
2021-04-24 00:00:00,709.0,saturday,False,False,True,False,False,False,False
2021-04-25 00:00:00,964.0,sunday,False,False,False,True,False,False,False
2021-04-26 00:00:00,430.0,monday,False,True,False,False,False,False,False
2021-04-27 00:00:00,381.0,tuesday,False,False,False,False,False,True,False
2021-04-28 00:00:00,399.0,wednesday,False,False,False,False,False,False,True
2021-04-29 00:00:00,430.0,thursday,False,False,False,False,True,False,False
2021-04-30 00:00:00,446.0,friday,True,False,False,False,False,False,False
2021-05-01 00:00:00,671.0,saturday,False,False,True,False,False,False,False
2021-05-02 00:00:00,868.0,sunday,False,False,False,True,False,False,False
2021-05-03 00:00:00,489.0,monday,False,True,False,False,False,False,False
2021-05-04 00:00:00,433.0,tuesday,False,False,False,False,False,True,False
2021-05-05 00:00:00,503.0,wednesday,False,False,False,False,False,False,True
2021-05-06 00:00:00,428.0,thursday,False,False,False,False,True,False,False
2021-05-07 00:00:00,520.0,friday,True,False,False,False,False,False,False
2021-05-08 00:00:00,806.0,saturday,False,False,True,False,False,False,False
2021-05-09 00:00:00,1005.0,sunday,False,False,False,True,False,False,False
2021-05-10 00:00:00,463.0,monday,False,True,False,False,False,False,False
2021-05-11 00:00:00,448.0,tuesday,False,False,False,False,False,True,False
2021-05-12 00:00:00,645.0,wednesday,False,False,False,False,False,False,True
2021-05-13 00:00:00,1053.0,thursday,False,False,False,False,True,False,False
2021-05-14 00:00:00,1201.0,friday,True,False,False,False,False,False,False
2021-05-15 00:00:00,1304.0,saturday,False,False,True,False,False,False,False
2021-05-16 00:00:00,1405.0,sunday,False,False,False,True,False,False,False
2021-05-17 00:00:00,,monday,False,True,False,False,False,False,False
2021-05-18 00:00:00,,tuesday,False,False,False,False,False,True,False
2021-05-19 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-05-20 00:00:00,,thursday,False,False,False,False,True,False,False
2021-05-21 00:00:00,363.0,friday,True,False,False,False,False,False,False
2021-05-22 00:00:00,803.0,saturday,False,False,True,False,False,False,False
2021-05-23 00:00:00,1272.0,sunday,False,False,False,True,False,False,False
2021-05-24 00:00:00,1003.0,monday,False,True,False,False,False,False,False
2021-05-25 00:00:00,486.0,tuesday,False,False,False,False,False,True,False
2021-05-26 00:00:00,337.0,wednesday,False,False,False,False,False,False,True
2021-05-27 00:00:00,412.0,thursday,False,False,False,False,True,False,False
2021-05-28 00:00:00,475.0,friday,True,False,False,False,False,False,False
2021-05-29 00:00:00,686.0,saturday,False,False,True,False,False,False,False
2021-05-30 00:00:00,966.0,sunday,False,False,False,True,False,False,False
2021-05-31 00:00:00,424.0,monday,False,True,False,False,False,False,False
2021-06-01 00:00:00,414.0,tuesday,False,False,False,False,False,True,False
2021-06-02 00:00:00,356.0,wednesday,False,False,False,False,False,False,True
2021-06-03 00:00:00,361.0,thursday,False,False,False,False,True,False,False
2021-06-04 00:00:00,525.0,friday,True,False,False,False,False,False,False
2021-06-05 00:00:00,663.0,saturday,False,False,True,False,False,False,False
2021-06-06 00:00:00,999.0,sunday,False,False,False,True,False,False,False
2021-06-07 00:00:00,415.0,monday,False,True,False,False,False,False,False
2021-06-08 00:00:00,459.0,tuesday,False,False,False,False,False,True,False
2021-06-09 00:00:00,402.0,wednesday,False,False,False,False,False,False,True
2021-06-10 00:00:00,397.0,thursday,False,False,False,False,True,False,False
2021-06-11 00:00:00,462.0,friday,True,False,False,False,False,False,False
2021-06-12 00:00:00,642.0,saturday,False,False,True,False,False,False,False
2021-06-13 00:00:00,1063.0,sunday,False,False,False,True,False,False,False
2021-06-14 00:00:00,480.0,monday,False,True,False,False,False,False,False
2021-06-15 00:00:00,451.0,tuesday,False,False,False,False,False,True,False
2021-06-16 00:00:00,434.0,wednesday,False,False,False,False,False,False,True
2021-06-17 00:00:00,378.0,thursday,False,False,False,False,True,False,False
2021-06-18 00:00:00,438.0,friday,True,False,False,False,False,False,False
2021-06-19 00:00:00,654.0,saturday,False,False,True,False,False,False,False
2021-06-20 00:00:00,1004.0,sunday,False,False,False,True,False,False,False
2021-06-21 00:00:00,501.0,monday,False,True,False,False,False,False,False
2021-06-22 00:00:00,445.0,tuesday,False,False,False,False,False,True,False
2021-06-23 00:00:00,386.0,wednesday,False,False,False,False,False,False,True
2021-06-24 00:00:00,513.0,thursday,False,False,False,False,True,False,False
2021-06-25 00:00:00,488.0,friday,True,False,False,False,False,False,False
2021-06-26 00:00:00,663.0,saturday,False,False,True,False,False,False,False
2021-06-27 00:00:00,1092.0,sunday,False,False,False,True,False,False,False
2021-06-28 00:00:00,444.0,monday,False,True,False,False,False,False,False
2021-06-29 00:00:00,415.0,tuesday,False,False,False,False,False,True,False
2021-06-30 00:00:00,425.0,wednesday,False,False,False,False,False,False,True
2021-07-01 00:00:00,553.0,thursday,False,False,False,False,True,False,False
2021-07-02 00:00:00,455.0,friday,True,False,False,False,False,False,False
2021-07-03 00:00:00,759.0,saturday,False,False,True,False,False,False,False
2021-07-04 00:00:00,982.0,sunday,False,False,False,True,False,False,False
2021-07-05 00:00:00,582.0,monday,False,True,False,False,False,False,False
2021-07-06 00:00:00,556.0,tuesday,False,False,False,False,False,True,False
2021-07-07 00:00:00,564.0,wednesday,False,False,False,False,False,False,True
2021-07-08 00:00:00,605.0,thursday,False,False,False,False,True,False,False
2021-07-09 00:00:00,699.0,friday,True,False,False,False,False,False,False
2021-07-10 00:00:00,956.0,saturday,False,False,True,False,False,False,False
2021-07-11 00:00:00,1367.0,sunday,False,False,False,True,False,False,False
2021-07-12 00:00:00,953.0,monday,False,True,False,False,False,False,False
2021-07-13 00:00:00,841.0,tuesday,False,False,False,False,False,True,False
2021-07-14 00:00:00,1145.0,wednesday,False,False,False,False,False,False,True
2021-07-15 00:00:00,976.0,thursday,False,False,False,False,True,False,False
2021-07-16 00:00:00,890.0,friday,True,False,False,False,False,False,False
2021-07-17 00:00:00,1250.0,saturday,False,False,True,False,False,False,False
2021-07-18 00:00:00,1243.0,sunday,False,False,False,True,False,False,False
2021-07-19 00:00:00,982.0,monday,False,True,False,False,False,False,False
2021-07-20 00:00:00,928.0,tuesday,False,False,False,False,False,True,False
2021-07-21 00:00:00,873.0,wednesday,False,False,False,False,False,False,True
2021-07-22 00:00:00,898.0,thursday,False,False,False,False,True,False,False
2021-07-23 00:00:00,947.0,friday,True,False,False,False,False,False,False
2021-07-24 00:00:00,1191.0,saturday,False,False,True,False,False,False,False
2021-07-25 00:00:00,1387.0,sunday,False,False,False,True,False,False,False
2021-07-26 00:00:00,1003.0,monday,False,True,False,False,False,False,False
2021-07-27 00:00:00,877.0,tuesday,False,False,False,False,False,True,False
2021-07-28 00:00:00,926.0,wednesday,False,False,False,False,False,False,True
2021-07-29 00:00:00,887.0,thursday,False,False,False,False,True,False,False
2021-07-30 00:00:00,962.0,friday,True,False,False,False,False,False,False
2021-07-31 00:00:00,1100.0,saturday,False,False,True,False,False,False,False
2021-08-01 00:00:00,1330.0,sunday,False,False,False,True,False,False,False
2021-08-02 00:00:00,1048.0,monday,False,True,False,False,False,False,False
2021-08-03 00:00:00,1166.0,tuesday,False,False,False,False,False,True,False
2021-08-04 00:00:00,909.0,wednesday,False,False,False,False,False,False,True
2021-08-05 00:00:00,1003.0,thursday,False,False,False,False,True,False,False
2021-08-06 00:00:00,949.0,friday,True,False,False,False,False,False,False
2021-08-07 00:00:00,1187.0,saturday,False,False,True,False,False,False,False
2021-08-08 00:00:00,1490.0,sunday,False,False,False,True,False,False,False
2021-08-09 00:00:00,1218.0,monday,False,True,False,False,False,False,False
2021-08-10 00:00:00,1051.0,tuesday,False,False,False,False,False,True,False
2021-08-11 00:00:00,1181.0,wednesday,False,False,False,False,False,False,True
2021-08-12 00:00:00,1280.0,thursday,False,False,False,False,True,False,False
2021-08-13 00:00:00,1028.0,friday,True,False,False,False,False,False,False
2021-08-14 00:00:00,1350.0,saturday,False,False,True,False,False,False,False
2021-08-15 00:00:00,1725.0,sunday,False,False,False,True,False,False,False
2021-08-16 00:00:00,1160.0,monday,False,True,False,False,False,False,False
2021-08-17 00:00:00,917.0,tuesday,False,False,False,False,False,True,False
2021-08-18 00:00:00,1090.0,wednesday,False,False,False,False,False,False,True
2021-08-19 00:00:00,1047.0,thursday,False,False,False,False,True,False,False
2021-08-20 00:00:00,885.0,friday,True,False,False,False,False,False,False
2021-08-21 00:00:00,1255.0,saturday,False,False,True,False,False,False,False
2021-08-22 00:00:00,1365.0,sunday,False,False,False,True,False,False,False
2021-08-23 00:00:00,916.0,monday,False,True,False,False,False,False,False
2021-08-24 00:00:00,911.0,tuesday,False,False,False,False,False,True,False
2021-08-25 00:00:00,801.0,wednesday,False,False,False,False,False,False,True
2021-08-26 00:00:00,960.0,thursday,False,False,False,False,True,False,False
2021-08-27 00:00:00,737.0,friday,True,False,False,False,False,False,False
2021-08-28 00:00:00,965.0,saturday,False,False,True,False,False,False,False
2021-08-29 00:00:00,1174.0,sunday,False,False,False,True,False,False,False
2021-08-30 00:00:00,673.0,monday,False,True,False,False,False,False,False
2021-08-31 00:00:00,557.0,tuesday,False,False,False,False,False,True,False
2021-09-01 00:00:00,479.0,wednesday,False,False,False,False,False,False,True
2021-09-02 00:00:00,501.0,thursday,False,False,False,False,True,False,False
2021-09-03 00:00:00,579.0,friday,True,False,False,False,False,False,False
2021-09-04 00:00:00,796.0,saturday,False,False,True,False,False,False,False
2021-09-05 00:00:00,953.0,sunday,False,False,False,True,False,False,False
2021-09-06 00:00:00,482.0,monday,False,True,False,False,False,False,False
2021-09-07 00:00:00,493.0,tuesday,False,False,False,False,False,True,False
2021-09-08 00:00:00,478.0,wednesday,False,False,False,False,False,False,True
2021-09-09 00:00:00,484.0,thursday,False,False,False,False,True,False,False
2021-09-10 00:00:00,472.0,friday,True,False,False,False,False,False,False
2021-09-11 00:00:00,697.0,saturday,False,False,True,False,False,False,False
2021-09-12 00:00:00,938.0,sunday,False,False,False,True,False,False,False
2021-09-13 00:00:00,500.0,monday,False,True,False,False,False,False,False
2021-09-14 00:00:00,387.0,tuesday,False,False,False,False,False,True,False
2021-09-15 00:00:00,382.0,wednesday,False,False,False,False,False,False,True
2021-09-16 00:00:00,378.0,thursday,False,False,False,False,True,False,False
2021-09-17 00:00:00,392.0,friday,True,False,False,False,False,False,False
2021-09-18 00:00:00,638.0,saturday,False,False,True,False,False,False,False
2021-09-19 00:00:00,729.0,sunday,False,False,False,True,False,False,False
2021-09-20 00:00:00,474.0,monday,False,True,False,False,False,False,False
2021-09-21 00:00:00,440.0,tuesday,False,False,False,False,False,True,False
2021-09-22 00:00:00,74.0,wednesday,False,False,False,False,False,False,True
2021-09-23 00:00:00,372.0,thursday,False,False,False,False,True,False,False
2021-09-24 00:00:00,451.0,friday,True,False,False,False,False,False,False
2021-09-25 00:00:00,666.0,saturday,False,False,True,False,False,False,False
2021-09-26 00:00:00,750.0,sunday,False,False,False,True,False,False,False
2021-09-27 00:00:00,317.0,monday,False,True,False,False,False,False,False
2021-09-28 00:00:00,323.0,tuesday,False,False,False,False,False,True,False
2021-09-29 00:00:00,325.0,wednesday,False,False,False,False,False,False,True
2021-09-30 00:00:00,326.0,thursday,False,False,False,False,True,False,False
2021-10-01 00:00:00,385.0,friday,True,False,False,False,False,False,False
2021-10-02 00:00:00,464.0,saturday,False,False,True,False,False,False,False
2021-10-03 00:00:00,637.0,sunday,False,False,False,True,False,False,False
2021-10-04 00:00:00,360.0,monday,False,True,False,False,False,False,False
2021-10-05 00:00:00,314.0,tuesday,False,False,False,False,False,True,False
2021-10-06 00:00:00,342.0,wednesday,False,False,False,False,False,False,True
2021-10-07 00:00:00,415.0,thursday,False,False,False,False,True,False,False
2021-10-08 00:00:00,469.0,friday,True,False,False,False,False,False,False
2021-10-09 00:00:00,585.0,saturday,False,False,True,False,False,False,False
2021-10-10 00:00:00,770.0,sunday,False,False,False,True,False,False,False
2021-10-11 00:00:00,318.0,monday,False,True,False,False,False,False,False
2021-10-12 00:00:00,241.0,tuesday,False,False,False,False,False,True,False
2021-10-13 00:00:00,288.0,wednesday,False,False,False,False,False,False,True
2021-10-14 00:00:00,299.0,thursday,False,False,False,False,True,False,False
2021-10-15 00:00:00,303.0,friday,True,False,False,False,False,False,False
2021-10-16 00:00:00,508.0,saturday,False,False,True,False,False,False,False
2021-10-17 00:00:00,691.0,sunday,False,False,False,True,False,False,False
2021-10-18 00:00:00,289.0,monday,False,True,False,False,False,False,False
2021-10-19 00:00:00,366.0,tuesday,False,False,False,False,False,True,False
2021-10-20 00:00:00,315.0,wednesday,False,False,False,False,False,False,True
2021-10-21 00:00:00,378.0,thursday,False,False,False,False,True,False,False
2021-10-22 00:00:00,379.0,friday,True,False,False,False,False,False,False
2021-10-23 00:00:00,616.0,saturday,False,False,True,False,False,False,False
2021-10-24 00:00:00,835.0,sunday,False,False,False,True,False,False,False
2021-10-25 00:00:00,459.0,monday,False,True,False,False,False,False,False
2021-10-26 00:00:00,532.0,tuesday,False,False,False,False,False,True,False
2021-10-27 00:00:00,517.0,wednesday,False,False,False,False,False,False,True
2021-10-28 00:00:00,510.0,thursday,False,False,False,False,True,False,False
2021-10-29 00:00:00,550.0,friday,True,False,False,False,False,False,False
2021-10-30 00:00:00,770.0,saturday,False,False,True,False,False,False,False
2021-10-31 00:00:00,1066.0,sunday,False,False,False,True,False,False,False
2021-11-01 00:00:00,932.0,monday,False,True,False,False,False,False,False
2021-11-02 00:00:00,529.0,tuesday,False,False,False,False,False,True,False
2021-11-03 00:00:00,522.0,wednesday,False,False,False,False,False,False,True
2021-11-04 00:00:00,471.0,thursday,False,False,False,False,True,False,False
2021-11-05 00:00:00,496.0,friday,True,False,False,False,False,False,False
2021-11-06 00:00:00,570.0,saturday,False,False,True,False,False,False,False
2021-11-07 00:00:00,563.0,sunday,False,False,False,True,False,False,False
2021-11-08 00:00:00,379.0,monday,False,True,False,False,False,False,False
2021-11-09 00:00:00,346.0,tuesday,False,False,False,False,False,True,False
2021-11-10 00:00:00,358.0,wednesday,False,False,False,False,False,False,True
2021-11-11 00:00:00,518.0,thursday,False,False,False,False,True,False,False
2021-11-12 00:00:00,332.0,friday,True,False,False,False,False,False,False
2021-11-13 00:00:00,419.0,saturday,False,False,True,False,False,False,False
2021-11-14 00:00:00,630.0,sunday,False,False,False,True,False,False,False
